time/s	Ewe/V	<I>/mA	
7.600120360986330E+002	2.4711282E+000	-1.099113460508026E+001
7.750120368110947E+002	2.4692383E+000	-1.099094386908163E+001
7.900120375235565E+002	2.4673483E+000	-1.099131429943818E+001
8.050120382360183E+002	2.4653797E+000	-1.099122208651125E+001
8.200120389484800E+002	2.4636865E+000	-1.099110386319940E+001
8.350120396609418E+002	2.4619145E+000	-1.099079962813695E+001
8.500120403734036E+002	2.4601822E+000	-1.099075550137411E+001
8.650120410858653E+002	2.4583316E+000	-1.099063333951468E+001
8.800120417983271E+002	2.4566777E+000	-1.099074919580698E+001
8.950120425107889E+002	2.4548271E+000	-1.099064541938878E+001
9.100120432232507E+002	2.4532521E+000	-1.099063990320964E+001
9.250120439357124E+002	2.4515197E+000	-1.099063964609905E+001
9.400120446481742E+002	2.4499447E+000	-1.099077284845479E+001
9.550120453606360E+002	2.4482515E+000	-1.099082696845242E+001
9.700120460730977E+002	2.4467554E+000	-1.099084193656084E+001
9.850120467855595E+002	2.4451804E+000	-1.099087819589241E+001
1.000012047498021E+003	2.4436054E+000	-1.099116271253132E+001
1.015012048210483E+003	2.4420304E+000	-1.099121105656894E+001
1.030012048922945E+003	2.4405341E+000	-1.099118399739664E+001
1.045012049635407E+003	2.4390771E+000	-1.099118951586460E+001
1.060012050347868E+003	2.4375415E+000	-1.099102111657044E+001
1.075012051060330E+003	2.4359665E+000	-1.099117900128787E+001
1.090012051772792E+003	2.4344704E+000	-1.099115693288377E+001
1.105012052485254E+003	2.4331317E+000	-1.099105368658130E+001
1.120012053197715E+003	2.4317141E+000	-1.099095017375866E+001
1.135012053910177E+003	2.4303753E+000	-1.099105632113826E+001
1.150012054622639E+003	2.4291942E+000	-1.099106550565728E+001
1.165012055335101E+003	2.4277766E+000	-1.099118557312085E+001
1.180012056047563E+003	2.4265561E+000	-1.099108994400552E+001
1.195012056760024E+003	2.4253354E+000	-1.099099982598307E+001
1.210012057472486E+003	2.4239967E+000	-1.099106997711804E+001
1.225012058184948E+003	2.4229729E+000	-1.099090498994326E+001
1.240012058897410E+003	2.4217522E+000	-1.099088843962565E+001
1.255012059609871E+003	2.4204528E+000	-1.099087897777816E+001
1.270012060322333E+003	2.4194686E+000	-1.099099457937585E+001
1.285012061034795E+003	2.4181297E+000	-1.099101269435506E+001
1.300012061747257E+003	2.4171062E+000	-1.099089448210583E+001
1.315012062459718E+003	2.4160824E+000	-1.099070137959628E+001
1.330012063172180E+003	2.4149404E+000	-1.099082801406089E+001
1.345012063884642E+003	2.4138772E+000	-1.099109335625206E+001
1.360012064597104E+003	2.4126568E+000	-1.099116560547043E+001
1.375012065309566E+003	2.4116724E+000	-1.099096383444323E+001
1.390012066022027E+003	2.4104910E+000	-1.099102321338227E+001
1.405012066734489E+003	2.4093885E+000	-1.099112935173375E+001
1.420012067446951E+003	2.4084041E+000	-1.099104449850190E+001
1.435012068159413E+003	2.4074593E+000	-1.099099668254551E+001
1.450012068871874E+003	2.4063172E+000	-1.099104896551219E+001
1.465012069584336E+003	2.4054117E+000	-1.099110570798691E+001
1.480012070296798E+003	2.4044666E+000	-1.099103870130674E+001
1.495012071009260E+003	2.4036791E+000	-1.099113827888787E+001
1.510012071721721E+003	2.4028130E+000	-1.099110780823197E+001
1.525012072434183E+003	2.4018285E+000	-1.099115667386584E+001
1.540012073146645E+003	2.4010017E+000	-1.099107365753779E+001
1.555012073859107E+003	2.4001749E+000	-1.099110991025722E+001
1.570012074571569E+003	2.3991904E+000	-1.099104790680659E+001
1.585012075284030E+003	2.3983636E+000	-1.099111752629995E+001
1.600012075996492E+003	2.3975761E+000	-1.099117557975890E+001
1.615012076708954E+003	2.3967886E+000	-1.099122761324439E+001
1.630012077421416E+003	2.3958831E+000	-1.099127042800574E+001
1.645012078133877E+003	2.3951743E+000	-1.099141046286542E+001
1.660012078846339E+003	2.3943868E+000	-1.099153287878368E+001
1.675012079558801E+003	2.3935993E+000	-1.099158674421386E+001
1.690012080271263E+003	2.3928118E+000	-1.099145512330438E+001
1.705012080983724E+003	2.3919849E+000	-1.099156861740910E+001
1.720012081696186E+003	2.3912368E+000	-1.099151318439273E+001
